ID,State,Crop,Season,Soil_Type,Year,Area_Hectares,Rainfall_mm,Temperature_C,Humidity_pct,Soil_pH,Nitrogen_kg,Phosphorus_kg,Potassium_kg,Yield_Quintal_per_Hectare,Production_Quintals
55,MP,Soybean,Kharif,Laterite,2020,46.1,87.2,21.6,39.2,4.7,115.1,37.7,42.1,22.98,1059.38
56,Maharashtra,Cotton,Rabi,Clay,2018,11.83,185.0,25.9,68.9,8.1,108.1,38.2,6.2,23.98,283.68
57,Punjab,Rice,Rabi,Clay,2022,24.84,239.1,26.8,72.3,8.2,41.8,37.2,33.6,53.77,1335.65
58,Haryana,Sugarcane,Zaid,Red,2023,4.86,90.2,25.3,62.2,7.2,68.1,46.8,6.7,74.64,362.75
59,Tamil Nadu,Cotton,Kharif,Red,2023,37.94,178.6,39.7,72.7,6.7,69.6,15.3,21.3,13.96,529.64
60,UP,Soybean,Zaid,Red,2014,27.77,159.5,32.5,37.9,8.4,93.1,18.2,12.1,20.19,560.68
61,Haryana,Barley,Kharif,Alluvial,2017,24.38,286.8,31.2,40.0,8.2,55.0,43.8,23.7,28.74,700.68
62,UP,Maize,Kharif,Laterite,2023,36.44,67.5,34.3,85.5,5.9,114.5,19.7,5.1,43.17,1573.11
63,Gujarat,Potato,Rabi,Black,2015,19.46,133.1,34.1,54.5,8.2,124.4,58.9,15.7,37.77,735.0
64,Tamil Nadu,Sugarcane,Rabi,Clay,2016,16.93,297.1,34.8,72.4,5.1,135.8,11.9,48.4,78.39,1327.14
65,Gujarat,Wheat,Kharif,Laterite,2010,34.79,230.6,25.2,72.6,5.1,76.3,58.3,20.2,40.15,1396.82
66,Gujarat,Barley,Zaid,Red,2023,48.93,185.3,30.4,45.3,7.2,54.5,17.5,9.1,23.38,1143.98
67,Maharashtra,Wheat,Kharif,Laterite,2010,39.73,61.5,34.9,49.1,6.0,37.5,34.2,30.5,34.24,1360.36
68,MP,Barley,Zaid,Sandy,2017,45.11,278.2,18.6,60.0,5.5,50.6,5.5,41.2,34.71,1565.77
69,Karnataka,Maize,Rabi,Alluvial,2019,5.78,124.8,39.1,74.9,6.3,56.3,60.0,43.4,40.13,231.95
70,Punjab,Cotton,Rabi,Clay,2023,25.09,214.6,21.9,66.8,7.2,109.4,7.7,32.3,25.96,651.34
71,Karnataka,Cotton,Zaid,Black,2013,45.22,209.2,30.5,74.1,7.4,99.1,51.1,33.3,21.55,974.49
72,Karnataka,Potato,Zaid,Alluvial,2021,18.61,82.9,37.7,51.2,6.2,44.1,48.3,44.4,27.76,516.61
73,Gujarat,Cotton,Rabi,Black,2022,33.98,123.8,36.8,82.3,6.4,29.0,46.5,15.2,14.07,478.1
74,Punjab,Sugarcane,Rabi,Alluvial,2014,5.86,184.1,26.4,73.7,7.2,90.1,50.2,47.3,75.29,441.2
75,Karnataka,Soybean,Kharif,Laterite,2019,47.34,105.3,16.6,83.6,8.1,56.3,27.5,11.3,23.51,1112.96
76,UP,Wheat,Zaid,Black,2016,21.04,163.4,31.8,78.3,8.3,70.3,45.8,12.0,42.83,901.14
77,Tamil Nadu,Wheat,Zaid,Laterite,2014,27.45,58.2,24.3,58.8,8.3,122.7,10.5,35.9,42.33,1161.96
78,Haryana,Barley,Kharif,Red,2023,49.45,256.0,17.3,43.8,7.1,136.5,7.8,20.0,36.46,1802.95
79,MP,Soybean,Zaid,Alluvial,2019,7.66,104.0,36.7,51.4,5.1,128.1,5.2,43.6,25.1,192.27
80,Punjab,Maize,Zaid,Alluvial,2012,26.54,53.7,34.7,45.5,5.8,40.9,7.9,38.4,39.59,1050.72
81,Karnataka,Wheat,Rabi,Laterite,2018,15.43,198.4,26.3,44.4,7.0,107.3,55.0,34.7,43.12,665.34
82,Haryana,Potato,Rabi,Laterite,2017,29.48,228.1,26.1,88.5,5.8,37.8,11.9,33.1,35.01,1032.09
83,Maharashtra,Sugarcane,Zaid,Laterite,2017,43.34,176.4,25.8,81.6,5.0,98.6,53.3,29.8,72.51,3142.58
84,Tamil Nadu,Barley,Rabi,Red,2016,5.02,232.4,22.8,50.3,5.5,134.4,42.8,26.3,38.92,195.38
85,Haryana,Wheat,Rabi,Alluvial,2021,18.0,234.7,35.3,66.2,6.8,87.4,23.1,10.5,38.34,690.12
86,Maharashtra,Rice,Zaid,Red,2015,6.19,75.9,27.7,40.1,6.4,121.7,24.3,30.0,44.95,278.24
87,Tamil Nadu,Cotton,Kharif,Sandy,2023,34.83,190.2,34.2,70.4,7.2,86.8,38.5,34.6,23.12,805.27
88,Punjab,Cotton,Rabi,Red,2012,11.15,267.5,29.2,56.1,5.1,96.0,6.7,38.6,23.81,265.48
89,UP,Barley,Rabi,Laterite,2015,2.96,127.9,23.1,91.2,6.9,126.0,13.6,38.9,35.66,105.55
90,Gujarat,Barley,Zaid,Laterite,2016,33.52,118.3,33.9,37.4,6.2,54.0,42.3,26.9,27.92,935.88
91,Punjab,Rice,Rabi,Black,2010,21.82,101.1,38.6,79.9,7.6,54.7,11.6,27.4,47.39,1034.05
92,Karnataka,Soybean,Zaid,Sandy,2011,20.52,149.3,33.6,58.4,6.3,29.3,22.2,24.3,23.53,482.84
93,Tamil Nadu,Barley,Kharif,Red,2010,5.74,291.5,19.3,91.6,6.3,102.8,24.9,24.7,34.61,198.66
94,Karnataka,Wheat,Rabi,Laterite,2013,36.51,133.3,19.2,63.2,5.0,81.2,54.8,20.7,43.03,1571.03
95,UP,Maize,Kharif,Black,2014,37.85,99.3,30.1,79.4,7.1,41.3,47.5,27.2,42.08,1592.73
96,UP,Sugarcane,Rabi,Clay,2017,22.87,67.1,26.1,49.7,5.6,26.7,32.9,19.0,66.52,1521.31
97,Haryana,Rice,Rabi,Red,2020,44.85,266.1,36.4,70.0,6.5,75.5,35.5,40.6,46.86,2101.67
98,Gujarat,Soybean,Zaid,Red,2018,9.04,87.7,16.5,36.7,8.1,61.2,44.3,27.7,26.01,235.13
99,Gujarat,Soybean,Rabi,Clay,2018,39.57,180.7,19.0,54.2,5.6,69.1,23.6,31.9,26.14,1034.36
100,Tamil Nadu,Wheat,Zaid,Sandy,2014,45.88,113.0,36.3,92.7,6.9,38.0,9.5,34.9,34.28,1572.77
101,Tamil Nadu,Cotton,Zaid,Clay,2012,41.53,198.8,38.5,50.1,6.0,115.0,49.7,35.2,21.19,880.02
102,Tamil Nadu,Wheat,Zaid,Clay,2018,7.31,140.5,24.1,41.7,5.4,133.7,31.7,15.2,37.92,277.2
103,Punjab,Wheat,Kharif,Red,2020,40.55,134.2,34.2,38.5,6.0,39.5,50.7,39.7,38.18,1548.2
104,MP,Barley,Zaid,Red,2017,45.25,202.6,33.8,80.9,5.4,48.7,58.1,40.3,33.0,1493.25
105,Gujarat,Soybean,Zaid,Red,2017,43.71,242.4,34.5,62.7,6.2,39.4,16.0,32.2,27.27,1191.97
106,Haryana,Sugarcane,Kharif,Sandy,2014,40.93,71.0,19.0,59.2,6.6,119.7,10.0,46.0,77.12,3156.52
107,Punjab,Sugarcane,Rabi,Alluvial,2016,32.67,175.5,20.9,94.6,6.0,23.4,56.2,42.8,76.41,2496.31
108,UP,Cotton,Zaid,Laterite,2022,36.5,226.4,26.2,30.3,4.8,50.7,50.9,29.7,19.54,713.21
109,MP,Barley,Rabi,Alluvial,2014,27.03,80.5,21.0,71.5,7.0,27.5,51.0,27.5,24.75,668.99
110,Punjab,Maize,Rabi,Red,2019,27.43,138.2,29.3,42.2,7.2,82.8,24.8,47.9,41.38,1135.05
111,Punjab,Rice,Rabi,Laterite,2020,5.63,146.7,24.3,78.6,5.9,28.1,18.3,34.6,43.67,245.86
112,Karnataka,Maize,Rabi,Alluvial,2023,35.94,210.7,35.8,74.5,8.4,77.4,15.0,11.1,42.01,1509.84
113,MP,Potato,Rabi,Alluvial,2010,2.31,247.8,37.1,50.5,5.7,67.8,49.8,26.3,34.25,79.12
114,Maharashtra,Rice,Rabi,Clay,2011,34.76,249.8,25.9,56.0,6.3,134.8,23.6,13.4,53.49,1859.31
115,Haryana,Sugarcane,Rabi,Sandy,2021,15.13,156.1,25.8,94.7,5.2,55.3,10.6,19.8,69.7,1054.56
116,Karnataka,Maize,Rabi,Clay,2017,4.21,60.6,36.8,52.9,8.5,52.9,58.9,47.7,41.77,175.85
117,UP,Barley,Zaid,Red,2010,19.45,85.7,30.2,80.8,4.6,28.1,47.8,21.5,21.99,427.71
118,Gujarat,Potato,Rabi,Red,2022,9.71,69.2,18.4,53.9,5.8,53.4,57.8,6.2,31.63,307.13
119,Maharashtra,Barley,Kharif,Sandy,2022,42.71,115.1,26.2,94.8,5.6,130.0,32.0,10.5,25.95,1108.32
120,Karnataka,Potato,Zaid,Alluvial,2020,32.07,136.9,16.6,65.2,8.1,122.2,44.1,46.7,41.66,1336.04
121,Haryana,Sugarcane,Kharif,Sandy,2013,6.92,248.0,20.9,62.1,5.9,88.7,30.7,49.2,80.97,560.31
122,Gujarat,Barley,Zaid,Clay,2018,26.11,152.7,25.2,67.4,5.0,58.0,9.1,26.0,28.15,735.0
123,UP,Maize,Zaid,Sandy,2022,16.47,291.6,25.8,89.2,4.7,34.9,13.4,12.4,46.37,763.71
124,MP,Cotton,Rabi,Alluvial,2020,29.24,289.1,21.9,70.6,7.0,31.2,40.3,31.6,20.73,606.15
125,Karnataka,Maize,Zaid,Clay,2023,10.94,281.0,16.0,86.1,4.8,133.8,47.4,16.9,50.96,557.5
126,Maharashtra,Rice,Zaid,Laterite,2020,22.26,289.2,27.1,82.3,7.2,55.7,9.0,7.7,50.59,1126.13
127,Karnataka,Potato,Kharif,Laterite,2019,25.99,85.9,36.5,50.8,8.5,61.4,26.9,39.2,32.01,831.94
128,MP,Wheat,Rabi,Red,2012,16.71,74.2,22.3,55.0,7.0,49.8,52.6,12.2,38.86,649.35
129,Gujarat,Sugarcane,Kharif,Black,2018,29.38,166.7,37.0,62.3,4.9,67.2,30.1,15.8,75.05,2204.97
130,Punjab,Potato,Zaid,Red,2023,28.31,76.9,18.3,47.2,6.0,68.4,7.5,7.3,33.42,946.12
131,Haryana,Sugarcane,Rabi,Sandy,2016,20.0,176.1,34.1,48.2,8.5,101.6,11.5,48.9,75.89,1517.8
132,Tamil Nadu,Sugarcane,Kharif,Black,2018,7.42,60.1,16.0,76.4,7.7,82.3,13.2,45.2,72.22,535.87
133,Maharashtra,Sugarcane,Rabi,Black,2019,33.85,134.1,35.7,64.6,7.3,56.0,49.9,21.6,76.14,2577.34
134,Maharashtra,Rice,Rabi,Sandy,2020,31.18,245.7,34.4,67.5,7.4,90.0,14.4,33.3,51.24,1597.66
135,MP,Barley,Zaid,Black,2010,25.34,193.1,32.5,42.4,6.3,70.3,27.7,14.2,26.48,671.0
136,MP,Rice,Kharif,Clay,2018,18.04,131.3,31.6,64.2,5.8,40.8,55.2,20.4,45.12,813.96
137,MP,Cotton,Rabi,Sandy,2013,24.71,119.8,22.5,91.2,8.4,112.5,43.8,36.1,19.06,470.97
138,Tamil Nadu,Cotton,Kharif,Red,2016,22.4,254.6,38.9,82.3,5.7,54.5,44.3,20.6,20.76,465.02
139,MP,Cotton,Rabi,Clay,2013,3.01,257.0,21.8,66.5,5.6,33.1,45.7,15.8,24.1,72.54
140,Tamil Nadu,Soybean,Kharif,Alluvial,2015,46.78,229.3,17.5,80.1,4.5,86.0,56.1,23.3,29.53,1381.41
141,MP,Potato,Zaid,Laterite,2022,36.29,291.0,23.0,72.0,8.1,30.7,36.6,29.1,44.2,1604.02
142,Punjab,Maize,Kharif,Laterite,2023,28.61,149.2,27.4,90.9,8.3,131.1,53.2,5.4,45.8,1310.34
143,Gujarat,Wheat,Rabi,Red,2020,8.54,185.8,27.3,91.0,7.9,76.2,15.6,10.1,38.48,328.62
144,Karnataka,Maize,Zaid,Alluvial,2022,16.73,123.8,31.9,42.6,6.9,96.6,27.3,24.2,44.21,739.63
145,UP,Barley,Kharif,Clay,2012,29.33,169.4,38.4,30.4,6.0,73.6,19.7,19.8,24.88,729.73
146,Punjab,Sugarcane,Kharif,Clay,2020,6.31,79.6,22.7,56.4,6.5,127.4,43.7,19.0,75.3,475.14
147,MP,Cotton,Zaid,Red,2013,37.99,289.3,27.0,59.6,8.5,64.8,43.6,46.1,26.04,989.26
148,Haryana,Soybean,Zaid,Clay,2018,28.85,161.7,32.6,35.1,6.8,27.4,35.1,27.7,16.0,461.6
149,Gujarat,Maize,Rabi,Black,2011,21.06,220.1,32.9,61.8,8.1,73.5,8.1,10.9,41.16,866.83
150,Tamil Nadu,Cotton,Kharif,Clay,2014,46.76,254.1,33.6,67.6,4.7,61.3,8.5,49.7,19.37,905.74
151,Maharashtra,Wheat,Kharif,Laterite,2016,22.7,95.0,18.4,71.7,7.4,135.7,25.6,45.1,45.89,1041.7
152,UP,Wheat,Zaid,Clay,2020,37.93,265.1,18.0,94.5,6.1,35.3,58.8,42.6,43.47,1648.82
153,Tamil Nadu,Cotton,Zaid,Laterite,2018,2.09,144.8,20.7,59.9,5.1,42.6,53.1,39.4,18.0,37.62
154,Haryana,Rice,Kharif,Black,2011,27.22,198.5,26.2,73.7,8.0,49.4,7.4,24.8,46.17,1256.75
155,Maharashtra,Rice,Zaid,Black,2013,7.59,253.9,33.3,50.7,6.9,100.7,22.6,18.6,51.22,388.76
156,UP,Cotton,Kharif,Red,2020,34.97,219.7,28.9,33.0,5.9,97.2,26.0,28.6,20.19,706.04
157,Tamil Nadu,Barley,Rabi,Black,2012,28.34,238.6,26.8,85.2,5.7,104.9,49.3,46.2,39.2,1110.93
158,Maharashtra,Maize,Kharif,Laterite,2013,19.17,132.6,17.0,59.2,6.0,84.3,50.6,7.3,46.17,885.08
159,MP,Rice,Kharif,Alluvial,2017,37.47,102.2,37.7,49.7,8.1,45.4,15.5,38.4,44.5,1667.41
160,Karnataka,Soybean,Kharif,Laterite,2022,40.24,120.8,26.7,72.2,5.7,63.2,53.6,26.0,17.67,711.04
161,Karnataka,Potato,Kharif,Red,2015,21.17,153.5,29.1,44.4,5.1,51.3,56.4,31.1,35.4,749.42
162,Gujarat,Barley,Kharif,Sandy,2018,8.83,213.7,32.1,46.7,7.8,136.0,40.3,27.1,35.97,317.62
163,Gujarat,Sugarcane,Kharif,Black,2012,33.58,279.2,28.6,71.7,4.7,24.1,51.6,47.5,77.37,2598.08
164,UP,Soybean,Zaid,Alluvial,2010,1.28,104.7,26.4,33.9,7.1,132.1,55.2,34.7,23.71,30.35
165,Maharashtra,Barley,Kharif,Alluvial,2018,5.27,294.4,15.4,82.9,7.2,116.7,55.0,9.8,40.55,213.7
166,Tamil Nadu,Cotton,Rabi,Red,2011,32.86,143.3,25.2,66.7,8.5,47.1,42.6,43.2,20.97,689.07
167,Tamil Nadu,Rice,Rabi,Alluvial,2016,28.51,188.2,16.4,30.6,5.2,80.0,28.9,40.3,53.79,1533.55
168,Gujarat,Rice,Kharif,Black,2014,16.07,61.6,16.9,90.2,8.1,87.6,6.8,46.8,49.05,788.23
169,Tamil Nadu,Soybean,Kharif,Sandy,2011,37.12,124.8,29.1,66.8,7.9,101.2,34.7,22.3,26.26,974.77
170,Karnataka,Wheat,Zaid,Sandy,2010,16.66,74.4,20.8,34.9,6.9,93.7,37.8,48.6,35.42,590.1
171,MP,Cotton,Rabi,Laterite,2015,12.7,188.3,24.4,42.1,6.8,65.6,47.5,18.3,23.1,293.37
172,UP,Barley,Zaid,Clay,2021,4.82,147.4,24.0,35.9,8.3,73.4,46.9,9.6,30.96,149.23
173,Tamil Nadu,Barley,Zaid,Laterite,2011,19.7,56.6,23.8,36.0,6.9,58.9,26.2,18.1,31.61,622.72
174,UP,Soybean,Zaid,Sandy,2020,24.47,145.2,18.5,49.6,6.5,27.6,28.9,23.9,26.95,659.47
175,MP,Wheat,Rabi,Red,2021,31.2,206.3,29.8,42.7,4.9,56.6,57.2,19.9,41.22,1286.06
176,UP,Sugarcane,Zaid,Laterite,2014,34.9,130.2,38.7,43.1,5.8,135.7,58.3,18.1,72.69,2536.88
177,Karnataka,Potato,Kharif,Sandy,2016,38.5,120.1,34.6,53.7,8.2,44.0,59.8,13.1,36.08,1389.08
178,Haryana,Soybean,Rabi,Laterite,2023,21.44,261.9,34.9,73.7,5.1,56.3,18.9,11.9,26.08,559.16
179,Gujarat,Barley,Rabi,Alluvial,2019,44.83,150.2,27.7,89.8,7.3,85.2,48.5,21.2,27.04,1212.2
180,Karnataka,Wheat,Kharif,Alluvial,2012,21.81,211.7,16.1,93.9,7.2,68.0,46.4,48.5,44.09,961.6
181,MP,Rice,Rabi,Alluvial,2018,34.68,236.7,28.9,74.7,5.4,64.9,30.5,35.6,58.09,2014.56
182,Tamil Nadu,Potato,Rabi,Alluvial,2011,24.07,79.0,38.5,39.2,5.7,74.6,16.4,26.7,38.0,914.66
183,Gujarat,Potato,Zaid,Clay,2015,46.53,66.8,16.1,76.2,4.6,61.2,11.0,41.0,33.6,1563.41
184,Tamil Nadu,Maize,Zaid,Red,2017,10.27,108.0,25.1,42.0,7.1,71.9,6.6,32.6,39.2,402.58
185,MP,Barley,Kharif,Laterite,2013,10.26,119.6,32.6,81.7,6.8,115.9,34.5,21.5,33.64,345.15
186,Karnataka,Potato,Zaid,Sandy,2019,40.13,147.2,24.8,37.4,5.9,74.9,14.5,35.3,37.32,1497.65
187,Karnataka,Wheat,Kharif,Clay,2011,21.44,109.6,17.9,54.3,5.1,66.6,37.8,30.9,36.46,781.7
188,Gujarat,Maize,Kharif,Sandy,2014,40.85,85.1,22.9,59.3,4.7,63.1,5.5,11.1,42.31,1728.36
189,Gujarat,Potato,Zaid,Laterite,2016,11.63,227.5,26.1,40.9,6.8,115.5,17.1,6.5,36.88,428.91
190,Haryana,Potato,Zaid,Sandy,2019,27.54,78.6,34.4,83.5,6.0,118.7,7.3,37.4,38.42,1058.09
191,MP,Barley,Zaid,Alluvial,2014,40.69,268.7,15.8,47.1,7.9,30.4,52.6,10.3,34.67,1410.72
192,Tamil Nadu,Sugarcane,Zaid,Clay,2012,8.83,204.0,34.6,82.9,7.7,88.4,34.3,31.9,81.0,715.23
193,Maharashtra,Cotton,Zaid,Red,2023,14.23,178.6,37.5,83.0,5.0,110.0,27.6,7.7,17.7,251.87
194,Karnataka,Maize,Kharif,Black,2023,4.24,111.9,36.1,55.5,5.1,95.9,39.5,21.9,39.09,165.74
195,Maharashtra,Wheat,Zaid,Laterite,2021,36.68,284.1,24.2,91.8,5.8,20.3,47.6,38.0,38.74,1420.98
196,Tamil Nadu,Sugarcane,Zaid,Alluvial,2013,42.69,292.0,35.6,62.2,5.8,54.0,35.1,10.9,77.3,3299.94
197,Punjab,Sugarcane,Kharif,Clay,2011,21.68,206.5,35.9,31.1,8.2,39.0,30.1,49.6,79.35,1720.31
198,Haryana,Cotton,Rabi,Black,2020,37.88,140.1,17.1,73.2,7.1,26.2,39.4,37.7,19.62,743.21
199,Haryana,Barley,Kharif,Clay,2010,6.47,103.4,16.9,68.6,6.6,73.4,5.4,20.5,32.59,210.86
200,Tamil Nadu,Potato,Kharif,Alluvial,2011,7.09,232.7,17.6,50.4,8.0,36.5,47.5,38.9,34.25,242.83
201,Punjab,Maize,Zaid,Alluvial,2019,43.07,212.5,26.0,77.0,7.0,38.2,27.6,35.9,46.65,2009.22
202,Tamil Nadu,Wheat,Zaid,Sandy,2015,30.58,290.8,22.9,39.1,5.6,30.1,35.4,32.0,43.15,1319.53
203,MP,Rice,Rabi,Clay,2018,19.6,201.7,19.7,55.5,7.1,114.1,48.7,15.8,55.24,1082.7
204,Karnataka,Wheat,Kharif,Sandy,2015,38.63,83.0,36.5,66.9,6.0,102.0,46.9,48.0,42.57,1644.48
205,Punjab,Rice,Kharif,Sandy,2014,21.47,103.9,38.1,91.7,6.1,54.4,44.2,39.5,42.96,922.35
206,Maharashtra,Maize,Kharif,Red,2011,34.21,177.8,20.1,82.5,6.6,66.9,39.9,42.6,50.13,1714.95
207,Tamil Nadu,Wheat,Zaid,Red,2021,33.47,288.4,21.0,45.9,8.2,33.9,38.7,7.5,41.66,1394.36
208,Punjab,Rice,Kharif,Clay,2012,43.74,174.1,23.7,63.6,7.8,51.1,25.5,38.7,48.59,2125.33
209,Tamil Nadu,Wheat,Rabi,Alluvial,2014,43.04,181.0,21.6,93.4,7.0,79.5,33.1,7.5,43.27,1862.34
210,Haryana,Wheat,Zaid,Sandy,2013,9.36,235.2,15.1,85.8,4.5,25.5,25.0,46.4,44.53,416.8
